name,1980,1990,2000,2010,2017,2018
AL,8.9,6.8,4.6,10.5,4.4,3.9
AK,9.6,7.2,6.4,7.9,7.0,6.6
AZ,6.6,5.3,4.0,10.4,4.9,4.8
AR,7.6,6.9,4.3,8.2,3.7,3.7
CA,6.8,5.8,4.9,12.2,4.8,4.2
CO,5.8,5.2,2.8,8.7,2.7,3.3
CT,5.8,5.1,2.4,9.1,4.7,4.1
DE,7.6,4.7,3.7,8.4,4.5,3.8
DC,7.4,6.3,5.6,9.4,6.1,5.6
FL,6.1,6.1,3.7,11.1,4.2,3.6
GA,6.3,5.5,3.6,10.5,4.7,3.9
HI,5.0,2.7,4.2,6.9,2.4,2.4
ID,7.5,5.5,4.7,9.0,3.2,2.8
IL,8.2,6.1,4.3,10.4,4.9,4.3
IN,9.6,5.3,3.1,10.4,3.6,3.4
IA,6.0,4.4,2.6,6.0,3.1,2.5
KS,4.4,4.3,3.6,7.1,3.7,3.4
KY,8.0,6.0,4.2,10.2,4.9,4.3
LA,6.9,6.2,5.3,8.0,5.1,4.9
ME,7.6,5.3,3.4,8.1,3.4,3.4
MD,6.6,4.5,3.6,7.7,4.3,3.9
MA,5.6,6.3,2.7,8.3,3.8,3.3
MI,12.3,7.6,3.6,12.6,4.6,4.1
MN,5.8,4.8,3.2,7.4,3.4,2.9
MS,7.4,7.6,5.4,10.4,5.1,4.8
MO,7.2,5.8,3.6,9.6,3.8,3.2
MT,6.1,6.0,5.0,7.3,3.9,3.7
NE,3.9,2.3,2.8,4.6,2.9,2.8
NV,6.2,4.7,4.2,13.5,5.1,4.6
NH,4.5,5.7,2.7,5.8,2.7,2.5
NJ,7.2,5.0,3.7,9.5,4.6,4.1
NM,7.6,6.6,4.9,8.1,5.9,4.9
NY,7.5,5.3,4.5,8.6,4.7,4.1
NC,6.4,4.1,3.7,10.9,4.5,3.9
ND,4.9,4.0,3.0,3.8,2.7,2.6
OH,8.4,5.6,4.0,10.3,5.0,4.6
OK,4.4,5.7,3.0,6.8,4.2,3.4
OR,8.5,5.5,5.1,10.6,4.1,4.2
PA,8.0,5.5,4.1,8.5,4.9,4.3
RI,7.2,6.3,4.1,11.2,4.4,4.1
SC,6.7,4.8,3.8,11.2,4.3,3.4
SD,4.8,3.8,2.5,5.0,3.2,3.0
TN,7.4,5.3,3.9,9.7,3.8,3.5
TX,5.1,6.3,4.3,8.1,4.3,3.9
UT,6.2,4.4,3.3,7.8,3.3,3.1
VT,6.2,5.0,2.8,6.1,3.0,2.7
VA,5.2,4.5,2.3,7.1,3.7,3.0
WA,8.1,5.2,5.2,10.0,4.7,4.5
WV,9.5,8.5,5.5,8.7,5.2,5.3
WI,7.2,4.4,3.5,8.7,3.3,3.0
WY,3.9,5.3,3.9,6.4,4.2,4.1
